Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
24130000,1.9630996,5999.0,1218.898219807871,0.046491608,0.0,0.0,1.0
24140000,1.9741352,5606.0,1218.8962846145319,0.032316756,0.0,0.0,1.0
24150000,1.9823534,5999.0,1219.3970348218336,0.057080127,1.0,1.0,1.0
24160000,2.0274835,5999.0,1219.3970348218336,0.013653921,0.0,0.0,1.0
24170000,2.0416114,5999.0,1219.3954055068546,0.012870068,0.3333333333333333,0.3333333333333333,1.0
24180000,2.0321429,5999.0,1219.3940549201122,0.0019796253,0.0,0.0,1.0
24190000,2.0309794,4006.0,1219.641353573903,0.013300955,0.3333333333333333,0.3333333333333333,1.0
24200000,2.044854,None,None,-0.0038165618,-1.0,-1.0,1.0
24210000,2.0548222,5999.0,1219.3875686568097,-0.0023166244,0.0,0.0,1.0
24220000,2.0487418,5999.0,1219.3826408538957,-0.0023146493,0.0,0.0,1.0
24230000,2.0360708,5999.0,1219.3802016195004,-0.0020932104,0.0,0.0,1.0
24240000,2.022219,5999.0,1219.3750984789458,-0.018196385,0.0,0.0,1.0
24250000,2.0077555,5999.0,1219.3697706666267,-0.018849563,-0.5,-0.5,1.0
24260000,2.0219533,94.0,1219.3697706666267,-0.015333944,0.0,0.0,1.0
24270000,2.01062,1306.5,1219.3697879015863,0.011362263,0.0,0.0,1.0
24280000,2.0288937,2548.5,1219.3676779194377,-0.007494934,-0.5,-0.5,1.0
24290000,2.0304077,3414.0,1219.363516260459,0.011025654,0.0,0.0,1.0
24300000,2.0239213,4257.5,1219.6015881268381,0.010198119,0.3333333333333333,0.3333333333333333,1.0
24310000,2.0235248,5999.0,1219.843762050879,0.0019619006,0.0,0.0,1.0
24320000,2.0314984,None,None,0.0073341937,None,None,1.0
24330000,2.0207024,5999.0,1219.8390160926588,0.0036534504,0.0,0.0,1.0
24340000,2.0238318,5436.0,1219.8256366924481,0.0035155513,0.0,0.0,1.0
24350000,2.016094,4914.4,1220.0054375872985,0.0015596646,0.0,0.0,1.0
24360000,2.0173628,None,None,0.0003429468,None,None,1.0
24370000,1.9938407,5999.0,1219.7854041846142,0.0018013895,0.0,0.0,1.0
24380000,1.9810385,5999.0,1219.7854813280421,0.001872344,0.0,0.0,1.0
24390000,1.9632342,5999.0,1219.7855198164325,0.0016769189,0.0,0.0,1.0
24400000,1.9939106,4669.666666666667,1220.2726266619982,0.011875049,0.3333333333333333,0.3333333333333333,1.0
24410000,1.9714026,5999.0,1220.2606827507273,0.0019520972,0.0,0.0,1.0
24420000,1.9778934,5999.0,1220.2540274957576,0.0017432437,0.0,0.0,1.0
24430000,1.9621471,5999.0,1220.246325810941,0.023315817,0.0,0.0,1.0
24440000,1.9586035,5123.0,1220.5704054684322,0.035204023,0.3333333333333333,0.3333333333333333,1.0
24450000,1.9523338,5999.0,1220.7179780034694,0.016570687,0.0,0.0,1.0
24460000,1.9648283,5999.0,1220.703198559918,0.018309128,0.0,0.0,1.0
24470000,1.9936826,1021.5,1220.6862508185022,-0.019793177,0.0,0.0,1.0
24480000,1.9949652,2219.0,1220.6781748563094,-0.03753927,0.0,0.0,1.0
24490000,1.947565,3524.5,1220.669471659439,-0.017580098,-0.5,-0.5,1.0
24500000,1.9393378,4965.0,1220.669471659439,-0.038376775,0.0,0.0,1.0
24510000,1.9560491,4129.0,1220.1670385856528,-0.05288317,-0.5,-0.5,1.0
24520000,1.9741595,5999.0,1220.1574389280677,-0.018056344,0.0,0.0,1.0
24530000,1.9675312,5277.5,1220.1458343201643,-0.017451089,0.0,0.0,1.0
24540000,1.9670467,5999.0,1219.882088815582,-0.014993362,0.0,0.0,1.0
24550000,2.0254884,5999.0,1219.6248506516765,-0.015479219,-1.0,-1.0,1.0
24560000,2.0062835,5999.0,1219.6176665040389,-0.0015762461,0.0,0.0,1.0
24570000,1.9794571,5999.0,1219.6124297106348,-0.0024147201,0.0,0.0,1.0
24580000,1.9643403,5999.0,1219.6083217915652,-0.00090925134,0.0,0.0,1.0
24590000,1.9959849,5999.0,1219.603779630343,-0.0008001387,0.0,0.0,1.0
24600000,1.9808013,5999.0,1219.5928971642159,-0.0008333682,0.0,0.0,1.0
24610000,1.9379501,5999.0,1219.5932351466033,-0.0006990173,0.0,0.0,1.0
24620000,1.9490119,5999.0,1219.5882613517579,-0.00088224385,0.0,0.0,1.0
24630000,1.9369447,5999.0,1219.571695967351,-0.0014520546,0.0,0.0,1.0
24640000,1.9072009,5999.0,1219.5671858767832,-0.0007249757,0.0,0.0,1.0
24650000,1.9234152,5999.0,1219.5672385394278,-0.00048438337,0.0,0.0,1.0
24660000,1.9336419,3343.75,1219.5545191323708,-0.00011232438,0.0,0.0,1.0
24670000,1.8925647,1445.0,1219.5469066497021,0.014800514,0.0,0.0,1.0
24680000,1.8921944,1511.0,1219.5428373175641,0.013020625,0.0,0.0,1.0
24690000,1.8912202,3346.0,1219.538767985426,0.013395315,0.0,0.0,1.0
24700000,1.9429342,4484.0,1219.5279946884823,0.0115286475,0.0,0.0,1.0
24710000,1.9221615,5743.0,1219.5257237149883,0.0125830155,0.0,0.0,1.0
24720000,1.977491,5999.0,1220.0261577199333,0.011540426,1.0,1.0,1.0
24730000,1.9749459,5557.75,1220.0144025979314,-0.0028909682,0.0,0.0,1.0
24740000,1.9761379,5999.0,1220.0026975975397,-0.0030394264,0.0,0.0,1.0
24750000,1.9796218,5999.0,1219.9931218354668,-0.0029301643,0.0,0.0,1.0
24760000,1.9920163,5999.0,1219.9897152356825,-0.0028339885,0.0,0.0,1.0
