Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
830000,5.457581,1698.1666666666667,1199.318167271065,0.006957039,0.3333333333333333,0.3333333333333333,1.0
840000,5.4690495,1228.2222222222222,1198.059684336963,0.0058505083,-0.5,-0.5,1.0
850000,5.4491005,1731.0,1196.3768342091366,0.005894862,0.16666666666666666,0.16666666666666666,1.0
860000,5.449154,1321.0,1196.042788021036,0.008287031,0.0,0.0,1.0
870000,5.454252,1279.5714285714287,1198.7670110145136,0.00579003,0.75,0.75,1.0
880000,5.4419804,1301.0,1198.4734943435249,0.01140367,-0.25,-0.25,1.0
890000,5.4495497,1122.4444444444443,1198.7467094473582,0.008503025,0.1111111111111111,0.1111111111111111,1.0
900000,5.4587884,1545.6666666666667,1199.0345607769384,0.009483337,-0.16666666666666666,-0.16666666666666666,1.0
910000,5.4355903,808.4285714285714,1198.8619436015483,0.007948885,0.0,0.0,1.0
920000,5.453652,1245.125,1199.5769794403789,0.009491147,0.125,0.125,1.0
930000,5.448566,1072.625,1200.9097026836203,0.017470032,0.4444444444444444,0.4444444444444444,1.0
940000,5.447641,1020.8,1201.4379923391584,0.023387896,-0.3,-0.3,1.0
950000,5.4448066,793.5384615384615,1200.7923493851422,0.028572444,0.07692307692307693,0.07692307692307693,1.0
960000,5.457745,911.0833333333334,1199.77842085454,0.018033037,-0.2727272727272727,-0.2727272727272727,1.0
970000,5.4491215,1270.25,1197.760396771076,0.025659885,-0.5,-0.5,1.0
980000,5.4465027,756.9166666666666,1196.9634980223927,0.024695247,-0.5384615384615384,-0.5384615384615384,1.0
990000,5.4523363,746.4,1195.8979729116395,0.025514638,-0.14285714285714285,-0.14285714285714285,1.0
1000000,5.4383874,950.2,1195.7698220503828,0.020993017,0.4,0.4,1.0
1010000,5.4448977,1330.8333333333333,1198.0802873803666,0.017109763,0.42857142857142855,0.42857142857142855,1.0
1020000,5.43738,988.0,1198.537524185599,0.011782124,-0.1,-0.1,1.0
